Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal,Season
1896,Athens,Aquatics,Swimming,"hajos, alfred",HUN,Men,100M Freestyle,Gold,Summer
1896,Athens,Aquatics,Swimming,"herschmann, otto",AUT,Men,100M Freestyle,Silver,Summer
1896,Athens,Aquatics,Swimming,"drivas, dimitrios",GRE,Men,100M Freestyle For Sailors,Bronze,Summer
1896,Athens,Aquatics,Swimming,"malokinis, ioannis",GRE,Men,100M Freestyle For Sailors,Gold,Summer
1896,Athens,Aquatics,Swimming,"chasapis, spiridon",GRE,Men,100M Freestyle For Sailors,Silver,Summer
1896,Athens,Aquatics,Swimming,"chorophas, efstathios",GRE,Men,1200M Freestyle,Bronze,Summer
1896,Athens,Aquatics,Swimming,"hajos, alfred",HUN,Men,1200M Freestyle,Gold,Summer
1896,Athens,Aquatics,Swimming,"andreou, joannis",GRE,Men,1200M Freestyle,Silver,Summer
1896,Athens,Aquatics,Swimming,"chorophas, efstathios",GRE,Men,400M Freestyle,Bronze,Summer
1896,Athens,Aquatics,Swimming,"neumann, paul",AUT,Men,400M Freestyle,Gold,Summer
1896,Athens,Aquatics,Swimming,"pepanos, antonios",GRE,Men,400M Freestyle,Silver,Summer
1896,Athens,Athletics,Athletics,"lane, francis",USA,Men,100M,Bronze,Summer
1896,Athens,Athletics,Athletics,"szokolyi, alajos",HUN,Men,100M,Bronze,Summer
1896,Athens,Athletics,Athletics,"burke, thomas",USA,Men,100M,Gold,Summer
1896,Athens,Athletics,Athletics,"hofmann, fritz",GER,Men,100M,Silver,Summer
1896,Athens,Athletics,Athletics,"curtis, thomas",USA,Men,110M Hurdles,Gold,Summer
1896,Athens,Athletics,Athletics,"goulding, grantley",GBR,Men,110M Hurdles,Silver,Summer
1896,Athens,Athletics,Athletics,"lermusiaux, albin",FRA,Men,1500M,Bronze,Summer
1896,Athens,Athletics,Athletics,"flack, edwin",AUS,Men,1500M,Gold,Summer
1896,Athens,Athletics,Athletics,"blake, arthur",USA,Men,1500M,Silver,Summer
