country_name,country_code,year_1961,year_1962,year_1963,year_1964,year_1965,year_1966,year_1967,year_1968,year_1969,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843,18.64865,12.12984,3.9614,7.96287,5.88235,7.30769,8.2039,2.54714,1.18579,7.04687,1.99199,1.23804,7.61659,-2.97126,-3.27365,1.97555,7.91156,1.21435,1.05061,1.80023,-0.09071,-10.51975,-3.68503,3.44605,-1.36986,4.19823,0.3,5.7,2.1,2.0,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83228,1.41412,11.22971,5.3574,13.82632,3.92498,21.39053,14.36244,0.42635,12.75229,5.60074,2.72454,1.45131,2.26031,2.647,1.18923,3.9116
Angola,AGO,,,,,,,,,,,,,,,,,,,,,-4.4,0.0,4.2,6.0,3.5,2.9,4.08275,6.12889,0.04162,-3.4501,0.99136,-5.83828,-23.98342,1.33936,15.0,13.54437,7.27428,4.69115,2.18149,3.05462,4.206,13.66569,2.98985,10.95286,15.02892,11.54768,14.01002,11.16614,0.85871,4.40393,3.47198,8.54219,4.95454,4.82263,0.94357,-2.58005,-0.14721,-2.00363,-0.62464
Albania,ALB,,,,,,,,,,,,,,,,,,,,,5.74564,2.9486,1.10494,-1.2516,1.78064,5.63724,-0.78784,-1.42004,9.83655,-9.57564,-28.00214,-7.18711,9.55941,8.30287,13.32233,9.1,-10.91998,8.83009,12.8899,6.95004,8.29007,4.53996,5.53005,5.51,5.52991,5.90008,5.97998,7.49997,3.35007,3.70689,2.54532,1.41753,1.00199,1.77449,2.21875,3.3148,3.8022,4.0713,2.24007
Andorra,AND,,,,,,,,,,,4.64947,8.14974,7.78847,5.61879,0.54221,3.30379,2.83858,1.463,0.04156,2.20873,-0.13247,1.24646,1.77012,1.78469,2.32143,3.25332,5.54712,5.09433,4.82703,3.78139,2.546,0.92921,-1.03148,2.38319,2.7575,4.64974,9.06767,3.19479,4.09908,3.52836,8.11936,4.54636,8.6942,8.13568,5.3978,4.80869,1.55319,-5.55919,-5.30285,-1.97496,-0.00807,-4.97444,-3.5476,2.50447,1.43414,3.70968,0.34607,1.58877,1.84924
Arab World,ARB,,,,,,,,,,,,,,,,15.74033,8.2438,-0.68177,11.68988,9.08287,3.0386,-9.07866,-6.89608,1.32605,-2.36624,4.68469,-0.53977,5.67139,2.37715,13.12683,1.50307,4.93875,3.26751,3.20391,2.74896,4.59226,4.22499,5.2658,1.80087,5.49623,1.56374,0.56997,5.31867,9.37393,5.7474,6.50169,4.52381,5.8112,0.41997,4.66819,3.7489,6.66222,3.28727,2.50508,3.24331,3.50713,0.82085,2.07947,1.48763
United Arab Emirates,ARE,,,,,,,,,,,,,,,,16.52686,21.43933,-1.5896,20.92357,23.87477,4.65918,-6.71932,-4.74582,4.01695,-3.59448,-14.95814,3.38198,-2.61891,12.33789,18.32799,0.86008,3.34494,1.26119,6.89615,6.68789,5.7984,8.1904,0.29199,2.90221,10.8527,1.39909,2.43346,8.80054,9.56644,4.85514,9.83732,3.18439,3.19184,-5.24292,1.60281,6.93027,4.48463,5.05335,4.2843,5.10594,3.06096,2.37354,1.18986,1.67772
Argentina,ARG,5.42784,-0.85202,-5.3082,10.1303,10.56943,-0.65973,3.192,4.8225,9.67953,3.04564,5.65813,1.62842,2.81175,5.5338,-0.02841,-2.01825,6.93415,-4.50612,10.22276,1.51878,-5.18979,-0.73566,4.34909,1.57074,-5.18902,6.15338,2.70487,-1.08993,-7.15695,-2.46721,9.13311,7.93729,8.20698,5.8362,-2.84521,5.52669,8.11105,3.85018,-3.38546,-0.789,-4.40884,-10.89448,8.83704,9.02957,8.85166,8.04715,9.00765,4.05723,-5.91853,10.1254,6.00395,-1.02642,2.40532,-2.51262,2.73116,-2.08033,2.8185,-2.56535,-2.08801
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.7,-41.8,-8.8,5.4,6.9,5.8654,3.32108,7.3,3.3,5.9,9.6,13.2,14.0,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2,7.6
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81411,0.53836,-0.40161,-4.16667,1.96353,-2.61348,-4.23729,0.44248,0.29369,-4.39239,-2.75651,0.94488,1.40406,-2.76923,-5.85443,2.18487,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,4.38363,8.07975,8.16143,3.81492,-0.08401,5.36402,10.165,7.64379,11.49383,6.62637,5.21327,5.25227,3.01171,2.17658,1.15848,5.27988,6.67671,-4.35959,6.60446,5.47161,4.73113,3.70762,6.20343,-4.548,1.02744,6.07654,5.76703,6.47383,12.70815,9.31538,-0.01434,-11.9627,-7.84059,-1.95861,3.37287,-0.60088,3.79573,3.82529,5.49779,3.14554,7.3892,4.65865
Australia,AUS,2.48577,1.29609,6.21463,6.97852,5.98351,2.38246,6.30262,5.09581,7.04433,7.17219,4.00368,3.91252,2.61372,4.10336,1.34992,2.5877,3.59743,0.89688,4.04349,3.03425,3.33777,3.32844,-2.22047,4.5813,5.24933,4.03753,2.55117,5.74338,3.86117,3.571,-0.39782,0.41218,4.02991,3.98389,3.83776,3.87859,3.96654,4.57669,5.0736,3.93314,1.93086,4.0014,2.98593,4.05545,3.20427,2.79454,3.84423,3.65795,1.93699,2.06742,2.46276,3.91816,2.5849,2.53311,2.19265,2.77065,2.30061,2.94929,2.16096
Austria,AUT,5.53798,2.64868,4.13827,6.12435,3.48017,5.64286,3.00805,4.47231,6.27587,6.32114,5.11497,6.20786,4.89044,3.94214,-0.36374,4.57845,5.07998,-0.21065,5.3567,1.73149,-0.14429,2.01125,2.97309,0.05127,2.49868,2.30139,1.35717,3.29588,3.88707,4.34564,3.44163,2.09352,0.52681,2.40212,2.66798,2.34953,2.0936,3.58143,3.55633,3.37572,1.26717,1.65155,0.94147,2.73512,2.24407,3.45404,3.72742,1.46042,-3.76458,1.83709,2.9228,0.68045,0.0255,0.66127,1.0145,1.98944,2.39959,2.58012,1.41873
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-22.6,-23.1,-19.7,-11.8,1.3,5.8,10.0,7.4,11.1,9.9,9.43892,10.2083,9.2538,27.96154,34.46621,25.46322,10.59144,9.36907,4.78924,-1.573,2.20294,5.84342,2.79759,1.04955,-3.0636,0.15361,1.5004,2.2187
Burundi,BDI,-13.74614,9.06316,4.13541,6.27304,3.96723,4.61299,13.82152,-0.29788,-1.45954,21.32567,2.74683,-6.40396,6.88905,-0.72684,0.69792,7.94266,11.46945,-0.94058,1.66495,0.99106,12.16328,-1.0536,3.71533,0.15554,11.78318,3.25018,5.5031,5.03102,1.3495,3.49982,4.99684,1.01,-6.24,-3.83,-7.92,-8.0,-1.59,4.75,-1.01,-0.85686,2.05581,4.44652,-1.22373,4.83366,0.9,5.41381,3.45195,4.86171,3.81275,5.12416,4.0326,4.44671,4.9242,4.24065,-3.9,-0.60002,0.50001,1.60993,1.84248
Belgium,BEL,4.97842,5.212,4.35158,6.95668,3.56066,3.15589,3.86815,4.19413,6.6298,5.58286,3.98583,5.2956,6.3817,4.56526,-1.96594,5.65275,0.62615,2.8419,2.34107,4.44405,-0.27928,0.59499,0.31184,2.46638,1.65179,1.82276,2.30666,4.72321,3.46917,3.1374,1.83307,1.53065,-0.96187,3.22697,2.38476,1.32145,3.79366,1.96181,3.54274,3.71668,1.09962,1.70688,1.03798,3.5712,2.32174,2.55235,3.67688,0.44693,-2.02074,2.86429,1.69451,0.73922,0.45924,1.57853,2.04146,1.26669,1.60809,1.8123,1.74382
